date,year,month,month_name,avg_closing_rate,avg_weighted_rate,month_end_close,month_open_close,rate_high,rate_low,trading_days
2024-12-01,2024,12,December,1553.72,1553.7296,1535.0,1660.0,1678.0,1500.0,20
2025-01-01,2025,1,January,1536.45,1535.9462,1475.0,1538.5,1565.0,1440.0,22
2025-02-01,2025,2,February,1504.13,1500.6976,1500.0,1499.0,1520.0,1480.0,23
2025-03-01,2025,3,March,1533.0,1526.3699,1537.0,1499.0,1615.0,1480.0,20
2025-04-01,2025,4,April,1602.79,1595.0516,1602.0,1534.0,1655.0,1500.0,19
2025-05-01,2025,5,May,1595.1,1594.7904,1585.5,1606.0,1615.0,1560.0,23
2025-06-01,2025,6,June,1550.76,1549.7746,1532.0,1580.0,1584.0,1528.0,19
2025-07-01,2025,7,July,1531.69,1530.347,1534.0,1527.0,1538.0,1515.0,22
2025-08-01,2025,8,August,1535.18,1534.7498,1531.0,1535.5,1543.0,1525.0,21
2025-09-01,2025,9,September,1498.38,1497.7895,1478.0,1527.9,1531.0,1470.0,21
2025-10-01,2025,10,October,1459.79,1459.5406,1427.5,1464.85,1482.0,1415.01,22
2025-11-01,2025,11,November,1445.28,1443.7866,1446.9,1438.0,1462.5,1430.0,20
2025-12-01,2025,12,December,1452.48,1450.9738,1429.0,1450.01,1469.9,1427.0,21
2026-01-01,2026,1,January,1416.53,1416.4967,1391.0,1431.0,1438.5,1367.0,21
2026-02-01,2026,2,February,1356.3,1355.5286,1368.5,1384.5,1396.0,1318.0,20
2026-03-01,2026,3,March,1381.18,1379.9819,1387.0,1376.0,1425.0,1340.0,20
2026-04-01,2026,4,April,1361.51,1361.2185,1374.0,1376.0,1390.0,1334.0,20
2026-05-01,2026,5,May,1370.16,1369.9956,1372.0,1367.5,1377.99,1350.0,18
2026-06-01,2026,6,June,1368.14,1366.9902,1376.0,1366.0,1392.0,1350.0,21
2026-07-01,2026,7,July,1370.13,1370.9164,1370.0,1369.0,1378.5,1360.0,3
